id,name,state_id,state_code,country_id,country_code,latitude,longitude
23176,Trnava,4563,724,58,CZ,49.29603,17.84191
23177,Trojanovice,4600,80,58,CZ,49.52039,18.238
23178,Troubelice,4589,71,58,CZ,49.81731,17.081
23179,Troubky,4589,71,58,CZ,49.43215,17.34914
23180,Troubsko,4602,64,58,CZ,49.16951,16.51078
23181,Trutnov,4614,52,58,CZ,50.56101,15.9127
23182,Tršice,4589,71,58,CZ,49.54237,17.42483
23183,Tuchlovice,4554,20,58,CZ,50.13803,13.99115
23184,Tuchoměřice,4554,20,58,CZ,50.13543,14.28218
23185,Tupesy,4563,724,58,CZ,49.08427,17.36983
23186,Turnov,4601,51,58,CZ,50.58356,15.15186
23187,Tvarožná,4602,64,58,CZ,49.19177,16.77146
23188,Tvrdonice,4602,64,58,CZ,48.76048,16.99446
23189,Tábor,4639,31,58,CZ,49.41441,14.6578
23190,Týn nad Vltavou,4639,31,58,CZ,49.2234,14.42057
23191,Týnec,4602,64,58,CZ,48.77943,17.01322
23192,Týnec nad Labem,4554,20,58,CZ,50.04202,15.35836
23193,Týnec nad Sázavou,4554,20,58,CZ,49.83348,14.58983
23194,Týniště nad Orlicí,4614,52,58,CZ,50.15136,16.0777
23195,Těšany,4602,64,58,CZ,49.03956,16.77003
23196,Těšetice,4589,71,58,CZ,49.59317,17.12607
23197,Třebechovice pod Orebem,4614,52,58,CZ,50.20097,15.99223
23198,Třebenice,4576,42,58,CZ,50.47632,13.99005
23199,Třebotov,4554,20,58,CZ,49.97244,14.29127
23200,Třeboň,4639,31,58,CZ,49.00364,14.77065
23201,Třebíč,4575,63,58,CZ,49.21492,15.88166
23202,Třemošnice,4588,53,58,CZ,49.86912,15.58002
23203,Třemošná,4608,324,58,CZ,49.81584,13.39499
23204,Třešť,4575,63,58,CZ,49.29092,15.48211
23205,Třinec,4600,80,58,CZ,49.67763,18.67078
23206,Uherské Hradiště,4563,724,58,CZ,49.06975,17.45969
23207,Uherský Brod,4563,724,58,CZ,49.02513,17.64715
23208,Uherský Ostroh,4563,724,58,CZ,48.98556,17.38984
23209,Uhlířské Janovice,4554,20,58,CZ,49.88019,15.06481
23210,Unhošť,4554,20,58,CZ,50.08535,14.13007
23211,Uničov,4589,71,58,CZ,49.77092,17.12144
23212,Určice,4589,71,58,CZ,49.43045,17.07291
23213,Vacenovice,4602,64,58,CZ,48.9451,17.17404
23214,Vacov,4639,31,58,CZ,49.13686,13.72911
23215,Valašská Bystřice,4563,724,58,CZ,49.41507,18.10977
23216,Valašská Polanka,4563,724,58,CZ,49.26215,17.99667
23217,Valašské Klobouky,4563,724,58,CZ,49.14064,18.0076
23218,Valašské Meziříčí,4563,724,58,CZ,49.47181,17.97113
23219,Valdice,4614,52,58,CZ,50.45501,15.38488
23220,Valdice,4601,51,58,CZ,50.5835,15.41248
23221,Valtice,4602,64,58,CZ,48.74069,16.75499
23222,Vamberk,4614,52,58,CZ,50.11756,16.29067
23223,Varnsdorf,4576,42,58,CZ,50.91154,14.61824
23224,Vejprnice,4608,324,58,CZ,49.72988,13.27628
23225,Vejprty,4576,42,58,CZ,50.49232,13.03212
23226,Velehrad,4563,724,58,CZ,49.10543,17.39426
23227,Velemín,4576,42,58,CZ,50.53898,13.97675
23228,Velešín,4639,31,58,CZ,48.82949,14.46252
23229,Velim,4554,20,58,CZ,50.05965,15.10711
23230,Velká Bystřice,4589,71,58,CZ,49.5948,17.36544
23231,Velká Bíteš,4575,63,58,CZ,49.28838,16.22742
23232,Velká Dobrá,4554,20,58,CZ,50.10964,14.0698
23233,Velká Hleďsebe,4581,41,58,CZ,49.96151,12.66763
23234,Velká Polom,4600,80,58,CZ,49.86359,18.09331
23235,Velká nad Veličkou,4602,64,58,CZ,48.88257,17.5206
23236,Velké Bílovice,4602,64,58,CZ,48.84929,16.89227
23237,Velké Březno,4576,42,58,CZ,50.6627,14.14174
23238,Velké Hamry,4601,51,58,CZ,50.71373,15.31539
23239,Velké Heraltice,4600,80,58,CZ,49.97493,17.72879
23240,Velké Hoštice,4600,80,58,CZ,49.93609,17.9738
23241,Velké Karlovice,4563,724,58,CZ,49.36064,18.28355
23242,Velké Losiny,4589,71,58,CZ,50.03197,17.04058
23243,Velké Meziříčí,4575,63,58,CZ,49.35522,16.01224
23244,Velké Němčice,4602,64,58,CZ,48.99168,16.67208
23245,Velké Opatovice,4602,64,58,CZ,49.61237,16.67947
23246,Velké Pavlovice,4602,64,58,CZ,48.90469,16.81605
23247,Velké Popovice,4554,20,58,CZ,49.92252,14.63934
23248,Velké Poříčí,4614,52,58,CZ,50.46177,16.18931
23249,Velké Přílepy,4554,20,58,CZ,50.1605,14.31447
23250,Velké Svatoňovice,4614,52,58,CZ,50.53164,16.02853
23251,Velký Beranov,4575,63,58,CZ,49.40504,15.667
23252,Velký Osek,4554,20,58,CZ,50.09867,15.18629
23253,Velký Týnec,4589,71,58,CZ,49.54994,17.33359
